flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
idle2turbine,0,-1,2024-01-09,0,2946.4462890625,-42.75153350830078,636.2939453125,0,2987.355712890625
idle2turbine,0,-1,2024-01-30,0,1798.275390625,-19.147258758544922,552.9324340820312,0,1805.3013916015625
idle2turbine,0,-1,2024-02-06,0,3277.761962890625,-18.499614715576172,198.71705627441406,0,3262.180419921875
idle2turbine,0,-1,2024-02-14,0,1537.7283935546875,-3.2994134426116943,369.9275207519531,0,1549.438720703125
idle2turbine,0,-1,2024-03-23,0,2022.798828125,-0.07226866483688354,0.0,0,2010.96240234375
idle2turbine,0,-1,2024-04-09,0,2004.46337890625,-15.502836227416992,171.71636962890625,0,2006.1650390625
idle2turbine,0,-1,2024-04-24,0,3301.53173828125,-39.54417037963867,0.0,0,3169.691650390625
idle2turbine,0,-1,2024-06-16,0,4064.6923828125,71.14838409423828,0.0,0,4034.30029296875
idle2turbine,0,-1,2024-07-04,0,3604.387451171875,158.7518768310547,0.0,0,3591.676025390625
idle2turbine,0,-1,2024-07-09,0,4393.84130859375,-11.001996040344238,0.0,0,4425.1669921875
idle2turbine,0,-1,2024-07-19,0,3796.716064453125,-35.01692199707031,0.0,0,3676.2734375
idle2turbine,0,-1,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
idle2turbine,0,-1,2024-08-05,0,5385.55712890625,-15.68202018737793,0.0,0,5371.50830078125
idle2turbine,0,-1,2024-08-09,0,4810.5185546875,0.0013683140277862549,0.0,0,4801.98779296875
idle2turbine,0,-1,2024-08-15,0,5043.619140625,-22.54229164123535,0.0,0,4975.71337890625
idle2turbine,0,-1,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
idle2turbine,0,-1,2024-10-21,0,5321.5830078125,-10.093414306640625,314.8144836425781,0,5308.80078125
idle2turbine,0,-1,2024-11-21,0,3900.714599609375,-73.62731170654297,761.7077026367188,0,3893.623779296875
idle2turbine,0,-1,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
idle2turbine,1,0,2024-01-09,1,2938.136962890625,-45.805702209472656,667.8392944335938,0,2997.7451171875
idle2turbine,1,0,2024-01-30,1,1759.2607421875,-13.008214950561523,610.9365844726562,0,1806.7213134765625
idle2turbine,1,0,2024-02-06,1,3280.1650390625,-30.016643524169922,236.35983276367188,0,3258.54248046875
idle2turbine,1,0,2024-02-14,1,1554.864501953125,-2.5622270107269287,294.9911804199219,0,1547.391845703125
idle2turbine,1,0,2024-03-23,1,2024.27392578125,-2.964327335357666,0.0,0,2058.306396484375
