flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed,raw_ex_post
pump2idle,0,-1,2024-01-09,0,2946.4462890625,-42.75153350830078,636.2939453125,0,2987.355712890625
pump2idle,0,-1,2024-01-30,0,1798.275390625,-19.147258758544922,552.9324340820312,0,1805.3013916015625
pump2idle,0,-1,2024-02-06,0,3277.761962890625,-18.499614715576172,198.71705627441406,0,3262.180419921875
pump2idle,0,-1,2024-02-14,0,1537.7283935546875,-3.2994134426116943,369.9275207519531,0,1549.438720703125
pump2idle,0,-1,2024-03-23,0,2022.798828125,-0.07226866483688354,0.0,0,2010.96240234375
pump2idle,0,-1,2024-04-09,0,2004.46337890625,-15.502836227416992,171.71636962890625,0,2006.1650390625
pump2idle,0,-1,2024-04-24,0,3301.53173828125,-39.54417037963867,0.0,0,3169.691650390625
pump2idle,0,-1,2024-06-16,0,4064.6923828125,71.14838409423828,0.0,0,4034.30029296875
pump2idle,0,-1,2024-07-04,0,3604.387451171875,158.7518768310547,0.0,0,3591.676025390625
pump2idle,0,-1,2024-07-09,0,4393.84130859375,-11.001996040344238,0.0,0,4425.1669921875
pump2idle,0,-1,2024-07-19,0,3796.716064453125,-35.01692199707031,0.0,0,3676.2734375
pump2idle,0,-1,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0,3466.59619140625
pump2idle,0,-1,2024-08-05,0,5385.55712890625,-15.68202018737793,0.0,0,5371.50830078125
pump2idle,0,-1,2024-08-09,0,4810.5185546875,0.0013683140277862549,0.0,0,4801.98779296875
pump2idle,0,-1,2024-08-15,0,5043.619140625,-22.54229164123535,0.0,0,4975.71337890625
pump2idle,0,-1,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0,3649.622802734375
pump2idle,0,-1,2024-10-21,0,5321.5830078125,-10.093414306640625,314.8144836425781,0,5308.80078125
pump2idle,0,-1,2024-11-21,0,3900.714599609375,-73.62731170654297,761.7077026367188,0,3893.623779296875
pump2idle,0,-1,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0,8082.49609375
pump2idle,1,0,2024-01-09,1,2906.787109375,-32.507469177246094,680.2612915039062,0,2943.029541015625
pump2idle,1,0,2024-01-30,1,2161.04833984375,-2.165508508682251,155.00453186035156,0,2201.9052734375
pump2idle,1,0,2024-02-06,1,3247.844970703125,-20.175687789916992,227.14622497558594,0,3222.6689453125
pump2idle,1,0,2024-02-14,1,1846.505859375,-3.46370530128479,0.0,0,1878.056640625
pump2idle,1,0,2024-03-23,1,1932.9434814453125,-1.3177920579910278,0.0,0,1998.293701171875
pump2idle,1,0,2024-04-09,1,1967.4647216796875,-14.946331977844238,188.72227478027344,0,1913.4937744140625
pump2idle,1,0,2024-04-24,1,3358.72314453125,-53.77814865112305,0.0,0,3533.569580078125
pump2idle,1,0,2024-06-16,1,4104.45361328125,25.66521644592285,0.0,0,4104.8779296875
pump2idle,1,0,2024-07-04,1,3531.085693359375,161.9839630126953,0.0,0,3859.2626953125
pump2idle,1,0,2024-07-09,1,nan,nan,nan,1,4736.42138671875
pump2idle,1,0,2024-07-19,1,3843.967529296875,-44.130245208740234,0.0,0,4146.72607421875
pump2idle,1,0,2024-08-03,1,3462.1259765625,-30.846378326416016,0.0,0,3770.71142578125
pump2idle,1,0,2024-08-05,1,5390.357421875,-17.378660202026367,0.0,0,5705.5068359375
pump2idle,1,0,2024-08-09,1,4806.70263671875,0.009910047054290771,0.0,0,4985.10986328125
pump2idle,1,0,2024-08-15,1,4962.75048828125,-16.145097732543945,0.0,0,5277.404296875
pump2idle,1,0,2024-10-05,1,3515.457275390625,-58.78163146972656,454.45233154296875,0,3474.43408203125
pump2idle,1,0,2024-10-21,1,5640.63720703125,-19.07498550415039,0.0,0,5714.751953125
